smiles,inchikey,220_692,221_693,231_703,233_706,234_707,235_708,238_712,239_713,240_714,241_715,242_716,243_717,244_718,246_720,247_721,248_722,249_724,251_727,260_738,264_742,265_743,267_745,268_746,269_747,270_748,274_752,275_754,276_755,277_756,278_757,279_758,280_759
CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,ALFGDCNSEBJYSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1c1ccccn1,AJLVNTLWHVMFEJ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccccc1/C=C/CN1CCCC(CO)(Cc2cccc(Cl)c2)C1,VCCRFAZUYUPLNS,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,,,0.0
CCC(C)NS(=O)(=O)c1ccc(S(=O)(=O)N2CCCC3(CCCCC3)C2)cc1,CTTJGUVBPGOYCP,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0
O=C1N=C(NN=Cc2cccnc2)SC1Cc1ccc(SC(F)F)cc1,MDZXZLAUBVXCAV,,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,
COc1ccc(C(=O)C2CCCN(Cc3cccn3-c3ccc(Cl)cn3)C2)c(OC)c1,VMPRULWEVWCPNB,,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
O=C(NN=CC1CC=CCC1)c1ccc(O)cc1O,FQESQADCJXWSJK,,0.0,0.0,,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
N#Cc1c(NC(=O)C2CCCO2)sc2c1CCCCC2,RQVDZGHFHUOFIU,,,1.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0
COC(=O)c1ccc(-c2ccc(CNCC(O)c3ccccc3)o2)cc1,IZCMAOLFFOUIRG,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,0.0,,,,,,
COc1ccc(C(C(=O)NC2CCCC2)N2CCc3ccccc32)cc1,TYDXTZOUGWPWNR,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCOC(=O)c1[nH]c2c(c1-c1ccccc1)C(=O)CC(c1ccc(OC)c(OC)c1)C2,AJFINBIBIHGQFB,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccc2nc(NC(=O)C(NS(=O)(=O)c3cccc4nsnc34)C(C)C)sc2c1,LDIVLKNMIXBIOU,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COCCn1c(SCC(=O)Nc2cc(Cl)ccc2OC)nc2c(c1=O)SC(C)C2,JZHUCHWPOHCVFK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccc(-n2ncc3c(NCC4CCCO4)ncnc32)cc1,TWVZCOKLWZPBHA,,,0.0,,0.0,0.0,,0.0,,1.0,1.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,
CN(C)N1C(N)=C(C#N)C(c2cccc3ccccc23)C2=C1CC(c1ccccc1)CC2=O,BRDWSRHFGGHGAV,,1.0,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,
O=C(Nc1nc2ccc(F)cc2s1)C1CCCO1,BPIDEEBLGGVDOY,,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,,,0.0,
Cc1ccc(NC(=O)C2CCCN(c3ncccn3)C2)cc1F,XFYWTKXMRZBBIT,,0.0,1.0,,1.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,0.0,,1.0,,,,,0.0,
CCC1CCCCN1S(=O)(=O)c1ccc2c(c1)CCN2C(=O)C1CCC1,OFSUPMNXHDGMAU,,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,
O=C(Nc1nnc(C2CCCO2)s1)c1cccs1,FBJGAVUWYMPHHL,,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,
Cc1ccc(Cn2c(=N)c(C(=O)NCC3CCCO3)cc3c(=O)n4ccccc4nc32)cc1,BRLHDBQJAXKNDL,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CC(C)C1N=C2c3ccccc3N=C(SCC(=O)NCCc3ccc(S(N)(=O)=O)cc3)N2C1=O,WKKLXYJSYPCFFA,,,0.0,,0.0,0.0,,0.0,,0.0,1.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,,0.0,
O=S(c1ccccc1)c1ccc2nnnn2n1,JFSXSNSCPNFCDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,FBOZXECLQNJBKD,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0
CCOCCCNc1nc2nc3ccc(C)cn3c(=O)c2cc1C(=O)NCC1CCCO1,FHOSXOVQPWXXSG,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,1.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCC(C)n1c(SC(C)C#N)nc2ccccc2c1=O,XQKDWOZTCSCTKC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,0.0,,0.0
Cc1cccc(S(=O)(=O)C(C#N)c2nc3ccccc3nc2N2CCCC2)c1,GDJMDNKIUMOLIR,,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,
CCOc1ccccc1NC1c2ccccc2C(=O)N1Cc1ccco1,TZKNJFPPPUUFLR,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCN1CC(CN(C)Cc2nc(-c3ccc(C(F)(F)F)cc3)no2)CC1=O,YGKXSUXTJJEUGF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=N)C(C#N)C(=O)CSc1nnc(Nc2cccc(C)c2)s1,JTHSAOIOQHKUAK,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1CCCN(S(=O)(=O)c2ccc(C(=O)Nc3nnc(C4=COCCO4)o3)cc2)C1,WASWTIOEXMNZOY,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Cc1ccc(N2CC(C(=O)Nc3nccs3)CC2=O)cc1Cl,MVKGEIODWGEBBC,,1.0,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,0.0,,0.0,,,,,0.0,
COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1,HLMBXBGDBBCYII,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N#CC(C(=O)c1ccco1)c1ccccn1,QSDNWEJECKQAQI,,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,1.0,,0.0,,,,,0.0,
CCOC(=O)NN1C(=O)c2ccccc2NC1c1ccc(N(C)C)cc1,IWUJEXSCYGXFPP,,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,1.0,,0.0,0.0,,,,0.0,
O=C(CC1C(=O)N(c2ccc(Cl)cc2)C(=S)N1CCc1ccncc1)Nc1ccc(F)cc1,ZYOPHNLIMLMZHQ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,,0.0,0.0,,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,0.0,,0.0
Cc1ccc(-c2nnc(CCC(=O)NCC(C)Oc3cccnc3)o2)s1,BLOWEBNRYNTZBA,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCS(=O)(=O)N1CN(S(=O)(=O)CCCC)C2NC(=O)NC21,OFSWUTIZRAMAAP,,,0.0,,,,,0.0,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,
CC(C)(C)c1ccc(C(=O)Nc2nnc(SCC(=O)NCC3CCCO3)s2)cc1,YIPJUFZGMOPEIF,,,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC(=O)C1=CN(CC2CCCO2)C=C(C(=O)OC)C1c1cccc(O)c1,HJIWXKDTUCXAKG,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.0,,,,0.0,,,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN1CCc2c(sc(NC(=O)C3COc4ccccc4O3)c2C(N)=O)C1,IOEWCPBBEIVYSM,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(C)Cn3nc(C)c(Cl)c3C)C2SC1,GLWRNZFZGQSOCS,,,0.0,,,,0.0,,1.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
N#CC1=C(N)N=C(SCc2cccc3ccccc23)C(C(N)=O)C12CCCCC2,VCRLZNBGAQEQIJ,,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,,0.0,
COc1ccc(CNC(=O)N(C)C[C@H]2OCc3ccccc3-c3c(n(C)c4ccccc34)C(=O)N([C@@H](C)CO)C[C@@H]2C)cc1,GHOSBDATJBJZOG,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,,,0.0,0.0,0.0,,0.0
CS(=O)(=O)Nc1ccc2c(c1)[C@@H]1C[C@H](CC(=O)NCc3ccncc3)O[C@@H](CO)[C@@H]1O2,IMSLJZJFFZYXRC,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0
C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(C#C[C@@H](C)O)cnc2O[C@H]1CN(C)C(=O)Cc1ccncc1,XXZIILLLBOPLBY,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CNC[C@@H]1Oc2c(NS(=O)(=O)c3ccc(F)cc3)cccc2C(=O)N([C@H](C)CO)C[C@H]1C,RAWZADNKXQBMBA,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0
O=C(Nc1cc(F)ccc1F)N[C@@H]1CC[C@H](CC(=O)N2CCc3ccccc3C2)O[C@@H]1CO,BOSRLBMZBBTOKS,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
COc1ccc(S(=O)(=O)Nc2ccc3c(c2)[C@@H]2C[C@H](CC(=O)N(C)C)O[C@@H](CO)[C@@H]2O3)cc1,GJVLYDQXVFQAHZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(=O)Nc1ccc2c(c1)C(=O)N(C)C[C@@H](OC)[C@H](C)CN(C(=O)C1CCCC1)[C@@H](C)CO2,MAKKLZBPABPJBZ,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(=O)Nc1ccc2c(c1)OC[C@@H](C)N(Cc1ccccn1)C[C@H](C)[C@@H](OC)CN(C)C2=O,OXTPNGYEOOIGNP,0.0,0.0,,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
COc1ccc(S(=O)(=O)N[C@H]2CC[C@@H](CC(=O)N3CCC(Cc4ccccc4)CC3)O[C@H]2CO)cc1,JXWMWOXWMMUZLT,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
COc1cccc(-c2ccc3c(c2)O[C@H](CN(C)C(=O)c2ccccc2F)[C@H](C)CN([C@H](C)CO)S3(=O)=O)c1,TXBXSWUOPNBBNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(C(=O)Nc2ccc(CN3CCS(=O)(=O)CC3)cc2)cc1C,IYIBNPKZDWNTHA,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[C@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2cccc(C#N)c2)OCc2ccccc2-c2c(n(C)c3ccccc23)C1=O,DEQYHGFYIZKXEQ,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN(C)/C=C/C(=O)/C=C/c1ccc(Cl)cc1Cl,NPWVLJBJSWANRE,,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,1.0,,,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CO[C@@H]1CN(C)C(=O)c2cc(NC(=O)NC3CCCCC3)ccc2OC[C@H](C)N(C)C[C@H]1C,ZWOJFBYNCHARNU,0.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,
CCS(=O)(=O)N[C@H]1C=C[C@@H](CC(=O)Nc2ccc(-c3ccccc3)cc2)O[C@@H]1CO,WANWEHJGGGHASC,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
COc1ccc(-c2ccc3n(c2=O)C[C@@H]2[C@@H](CO)[C@H](C(=O)NC4CCC4)N(S(C)(=O)=O)[C@H]32)cc1,MYJOCAZVFWJZEW,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
CCCN(C)C[C@H]1Oc2cc(C#CCC3CCCC3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@H]1C,LJUASEIATGHWBE,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,0.0,,,1.0,0.0,0.0,0.0,,0.0,,0.0,
CCCC(=O)Nc1ccc2c(c1)OC[C@H](C)N(Cc1ccc(-c3ccccn3)cc1)C[C@@H](C)[C@@H](OC)CN(C)C2=O,JEZVAYALKLQWEA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[C@H](NC(=O)C[C@H]1CC[C@H]2[C@@H](COC[C@H](O)CN2C(=O)Nc2cccc(Cl)c2)O1)c1ccccc1,QYSMODXJNCJWNA,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,,0.0,,0.0,
CCc1n[nH]c(SCc2ccc(OCC(C)C)cc2)n1,NRIBYXIOCGUVEW,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)NC(=O)Nc1cccc2c1O[C@H](CN(C)C(=O)Nc1ccccc1)[C@@H](C)CN([C@H](C)CO)C2=O,FNAJZGJPYUNJBY,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(NN=C/C(Br)=C/c1ccccc1)c1cc(-c2ccco2)[nH]n1,PCXZMSLUXJTINS,,,0.0,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(S(=O)(=O)N(C)C[C@H]2Oc3ncc(/C=C/c4ccccc4)cc3C(=O)N([C@@H](C)CO)C[C@@H]2C)cc1,RWAKEFQIDXFPPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO[C@H]1CN(C)C(=O)c2cc(NC(=O)c3ccc4c(c3)OCO4)ccc2OC[C@H](C)NC[C@H]1C,WNEJENAGGFCDCH,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cc1noc(C)c1NC(=O)N[C@H]1CC[C@@H](CC(=O)N2CCN(C)CC2)O[C@@H]1CO,ZKSUBHWMVQQNNI,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COCC(=O)Nc1ccc2c(c1)OC[C@@H](C)N(C(=O)NC(C)C)C[C@@H](C)[C@@H](OC)CN(C)C2=O,AOOMHDUDPOWWMY,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN(C)CC(=O)Nc1ccc2c(c1)[C@H]1C[C@H](CC(=O)NCc3cccc(F)c3)O[C@H](CO)[C@H]1O2,AANFNNZNKVIOFO,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
COc1ccccc1CNC(=O)C[C@H]1C[C@@H]2c3cc(NC(=O)CN(C)C)ccc3O[C@@H]2[C@H](CO)O1,YCZDHCVCWSKGTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
COCCNC(=O)c1ccc2c3n(nc2c1)-c1ccc(C)cc1CO3,XCUSFBCLMOHZJW,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0
CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)C3CC3)cc2OC[C@H](C)N(C(=O)c2ccccn2)C[C@@H]1C,ICZJHRYDJKYLQD,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,
O=C(Nc1ccc(C(F)(F)F)cc1)Nc1ccc2c(c1)[C@@H]1C[C@@H](CC(=O)N3CCc4ccccc4C3)O[C@@H](CO)[C@@H]1O2,HHNPVBFCYHNCMG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
